# pos	cp	char	name
0	1024	Ѐ	CYRILLIC CAPITAL LETTER IE WITH GRAVE
1	1281	ԁ	CYRILLIC SMALL LETTER KOMI DE
2	1026	Ђ	CYRILLIC CAPITAL LETTER DJE
3	1027	Ѓ	CYRILLIC CAPITAL LETTER GJE
4	260	Ą	LATIN CAPITAL LETTER A WITH OGONEK
5	261	ą	LATIN SMALL LETTER A WITH OGONEK
6	1030	І	CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
7	1031	Ї	CYRILLIC CAPITAL LETTER YI
8	264	Ĉ	LATIN CAPITAL LETTER C WITH CIRCUMFLEX
9	1033	Љ	CYRILLIC CAPITAL LETTER LJE
10	1034	Њ	CYRILLIC CAPITAL LETTER NJE
11	267	ċ	LATIN SMALL LETTER C WITH DOT ABOVE
12	1036	Ќ	CYRILLIC CAPITAL LETTER KJE
13	1037	Ѝ	CYRILLIC CAPITAL LETTER I WITH GRAVE
14	1038	Ў	CYRILLIC CAPITAL LETTER SHORT U
15	271	ď	LATIN SMALL LETTER D WITH CARON
16	272	Đ	LATIN CAPITAL LETTER D WITH STROKE
17	1041	Б	CYRILLIC CAPITAL LETTER BE
18	1042	В	CYRILLIC CAPITAL LETTER VE
19	275	ē	LATIN SMALL LETTER E WITH MACRON
20	1044	Д	CYRILLIC CAPITAL LETTER DE
21	533	ȕ	LATIN SMALL LETTER U WITH DOUBLE GRAVE
22	1046	Ж	CYRILLIC CAPITAL LETTER ZHE
23	1047	З	CYRILLIC CAPITAL LETTER ZE
24	536	Ș	LATIN CAPITAL LETTER S WITH COMMA BELOW
25	281	ę	LATIN SMALL LETTER E WITH OGONEK
26	538	Ț	LATIN CAPITAL LETTER T WITH COMMA BELOW
27	539	ț	LATIN SMALL LETTER T WITH COMMA BELOW
28	1052	М	CYRILLIC CAPITAL LETTER EM
29	285	ĝ	LATIN SMALL LETTER G WITH CIRCUMFLEX
30	542	Ȟ	LATIN CAPITAL LETTER H WITH CARON
31	543	ȟ	LATIN SMALL LETTER H WITH CARON
32	1056	Р	CYRILLIC CAPITAL LETTER ER
33	1057	С	CYRILLIC CAPITAL LETTER ES
34	1058	Т	CYRILLIC CAPITAL LETTER TE
35	1059	У	CYRILLIC CAPITAL LETTER U
36	1060	Ф	CYRILLIC CAPITAL LETTER EF
37	1061	Х	CYRILLIC CAPITAL LETTER HA
38	550	Ȧ	LATIN CAPITAL LETTER A WITH DOT ABOVE
39	1063	Ч	CYRILLIC CAPITAL LETTER CHE
40	552	Ȩ	LATIN CAPITAL LETTER E WITH CEDILLA
41	1065	Щ	CYRILLIC CAPITAL LETTER SHCHA
42	554	Ȫ	LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON
43	555	ȫ	LATIN SMALL LETTER O WITH DIAERESIS AND MACRON
44	1068	Ь	CYRILLIC CAPITAL LETTER SOFT SIGN
45	301	ĭ	LATIN SMALL LETTER I WITH BREVE
46	1070	Ю	CYRILLIC CAPITAL LETTER YU
47	303	į	LATIN SMALL LETTER I WITH OGONEK
48	1072	а	CYRILLIC SMALL LETTER A
49	561	ȱ	LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON
50	1074	в	CYRILLIC SMALL LETTER VE
51	563	ȳ	LATIN SMALL LETTER Y WITH MACRON
52	308	Ĵ	LATIN CAPITAL LETTER J WITH CIRCUMFLEX
53	309	ĵ	LATIN SMALL LETTER J WITH CIRCUMFLEX
54	1078	ж	CYRILLIC SMALL LETTER ZHE
55	311	ķ	LATIN SMALL LETTER K WITH CEDILLA
56	1080	и	CYRILLIC SMALL LETTER I
57	1081	й	CYRILLIC SMALL LETTER SHORT I
58	314	ĺ	LATIN SMALL LETTER L WITH ACUTE
59	315	Ļ	LATIN CAPITAL LETTER L WITH CEDILLA
60	316	ļ	LATIN SMALL LETTER L WITH CEDILLA
61	317	Ľ	LATIN CAPITAL LETTER L WITH CARON
62	318	ľ	LATIN SMALL LETTER L WITH CARON
63	1087	п	CYRILLIC SMALL LETTER PE
64	320	ŀ	LATIN SMALL LETTER L WITH MIDDLE DOT
65	65	A	LATIN CAPITAL LETTER A
66	1090	т	CYRILLIC SMALL LETTER TE
67	323	Ń	LATIN CAPITAL LETTER N WITH ACUTE
68	324	ń	LATIN SMALL LETTER N WITH ACUTE
69	325	Ņ	LATIN CAPITAL LETTER N WITH CEDILLA
70	1094	ц	CYRILLIC SMALL LETTER TSE
71	71	G	LATIN CAPITAL LETTER G
72	1096	ш	CYRILLIC SMALL LETTER SHA
73	1097	щ	CYRILLIC SMALL LETTER SHCHA
